
2024/11/12 (12:06:59) | ===> btop++ v.1.4.0
2024/11/12 (12:06:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (12:07:05) | ===> btop++ v.1.4.0
2024/11/12 (12:07:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (13:01:50) | ===> btop++ v.1.4.0
2024/11/13 (13:01:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/13 (13:01:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (15:50:05) | ===> btop++ v.1.4.0
2024/11/13 (15:50:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/13 (15:50:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (16:21:42) | ===> btop++ v.1.4.0
2024/11/13 (16:21:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/13 (16:21:42) | WARNING: Intel GPU: Failed to initialize PMU
